date,temperature_avg,humidity_avg,sunshine_hours,consumption_kWh
2019-03-02,7.5,77.1,1.0,18.33
2019-03-03,9.9,60.3,6.3,15.03
2019-03-04,8.3,57.4,0.5,16.69
2019-03-05,7.4,60.2,6.7,29.52
2019-03-06,6.0,68.2,2.7,16.81
2019-03-07,7.5,69.9,4.6,12.91
2019-03-08,7.4,70.8,1.6,46.07
2019-03-09,9.0,72.6,0.0,27.78
2019-03-10,10.4,74.8,1.4,26.02
2019-03-11,3.3,71.8,1.9,21.15
2019-03-12,5.1,56.0,6.2,16.93
2019-03-13,5.2,71.8,4.0,15.25
2019-03-14,4.3,83.4,0.0,20.37
2019-03-15,8.6,84.8,0.0,35.09
2019-03-16,11.9,56.6,10.3,10.94
2019-03-17,7.5,66.4,2.3,17.57
2019-03-18,3.6,77.7,1.7,17.17
2019-03-19,2.7,76.5,4.7,14.87
2019-03-20,4.3,62.4,11.2,13.54
2019-03-21,5.5,61.0,11.1,13.45
2019-03-22,7.5,64.5,11.0,12.63
2019-03-23,8.9,62.3,11.3,11.17
2019-03-24,9.8,61.6,11.0,11.04
2019-03-25,7.1,63.6,5.9,14.71
2019-03-26,4.5,63.8,5.7,13.17
2019-03-27,5.2,64.9,8.3,12.81
2019-03-28,7.9,59.5,10.4,12.13
2019-03-29,8.6,65.3,11.6,11.22
2019-03-30,9.1,60.7,11.8,11.15
2019-03-31,10.1,57.8,11.8,8.48
2019-04-01,10.2,65.4,11.3,9.23
2019-04-02,11.9,60.5,7.4,9.74
2019-04-03,8.7,66.7,6.9,12.25
2019-04-04,2.2,92.2,0.0,42.81
2019-04-05,4.4,80.5,1.3,31.72
2019-04-06,6.3,78.7,4.6,28.02
2019-04-07,8.8,75.1,4.8,20.36
2019-04-08,10.1,69.7,2.0,12.43
2019-04-09,9.3,83.4,2.4,35.99
2019-04-10,8.4,88.2,0.0,45.15
2019-04-11,8.2,72.5,0.0,31.12
2019-04-12,6.8,62.8,5.7,30.03
2019-04-13,5.5,68.7,0.6,14.78
2019-04-14,2.6,92.1,0.0,26.76
2019-04-15,7.2,77.3,7.3,12.57
2019-04-16,9.7,72.0,5.4,11.79
2019-04-17,12.2,74.9,7.4,7.93
2019-04-18,12.9,57.3,12.8,8.49
2019-04-19,13.7,60.3,11.5,7.03
2019-04-20,14.6,53.6,13.0,6.69
2019-04-21,14.2,52.3,4.5,8.17
2019-04-22,14.3,57.2,6.4,7.78
2019-04-23,15.5,55.8,6.6,6.91
2019-04-24,13.8,63.7,9.0,4.73
2019-04-25,13.4,57.9,7.9,6.96
2019-04-26,6.8,86.7,0.0,12.96
2019-04-27,8.2,80.3,0.5,13.25
2019-04-28,6.1,77.9,5.0,40.76
2019-04-29,7.4,79.1,0.3,12.81
2019-04-30,9.0,81.6,0.5,3.34
2019-05-01,10.2,71.8,9.7,2.85
2019-05-02,10.5,77.1,6.0,2.74
2019-05-03,9.1,85.8,0.4,2.79
2019-05-04,6.4,84.3,0.6,3.11
