iter	TotalF1:average=Macro	MultiClass
0	0.358192482	1.557306847
1	0.458021941	1.500274814
2	0.4443190271	1.475147768
3	0.5267693447	1.434054177
4	0.5076674118	1.400830846
5	0.5222655593	1.379886511
6	0.565553143	1.354330308
7	0.5454850292	1.342870456
8	0.5456317932	1.322861287
9	0.543218758	1.308409217
10	0.546541346	1.298638962
11	0.5415242855	1.282615008
12	0.5424717078	1.271848017
13	0.5440494676	1.264496359
14	0.5476035347	1.263052408
15	0.5511999744	1.24318268
16	0.5574169281	1.241600561
17	0.5515708464	1.24033083
18	0.5648532457	1.226413972
19	0.5701155978	1.225631148
20	0.5748945797	1.219960044
21	0.5811045756	1.206125869
22	0.5854400697	1.197157861
23	0.5887376174	1.191043369
24	0.6060335433	1.17855978
25	0.6050405334	1.168918152
26	0.6037571251	1.160925267
27	0.6022239239	1.15462073
28	0.6070233702	1.151709342
29	0.6038523814	1.145453125
30	0.6059063822	1.140723639
31	0.624017592	1.125813769
32	0.6281645437	1.121347852
33	0.6305865797	1.117440814
34	0.6248576145	1.108907976
35	0.6271567806	1.099698669
36	0.6271567806	1.099445697
37	0.6292384215	1.098535186
38	0.6292384215	1.098532533
39	0.6292384215	1.098530379
40	0.6287303357	1.093355948
41	0.6274803095	1.086934123
42	0.6333060512	1.079239938
43	0.6356699859	1.077290946
44	0.6371767502	1.076049488
45	0.6371767502	1.076046693
46	0.6349053219	1.075376324
47	0.6387375534	1.07114542
48	0.6420272875	1.064890732
49	0.6456748533	1.063396976
50	0.6453590149	1.059259702
51	0.65411079	1.056370297
52	0.6484514834	1.052796826
53	0.6533665747	1.049460237
54	0.6518302885	1.046203563
55	0.6545701026	1.041740682
56	0.6562262046	1.038521519
57	0.6649036436	1.02836081
58	0.6670903345	1.027376855
59	0.675466275	1.024411326
60	0.6739867001	1.017586965
61	0.6790847248	1.013617502
62	0.6826133557	1.005103854
63	0.6810622015	1.002181874
64	0.6810622015	1.00217754
65	0.6910250419	0.9936072949
66	0.6885012446	0.9911022376
67	0.6880008699	0.9908257238
68	0.6906554718	0.9817291836
69	0.6865803892	0.9808640521
70	0.689978622	0.9787049996
71	0.691810984	0.9754320121
72	0.691810984	0.9753598593
73	0.6944846524	0.9686923628
74	0.6934177018	0.9592337049
75	0.7037390921	0.9471237834
76	0.7038435819	0.9466124996
77	0.7060569872	0.9358639449
78	0.7032975699	0.9316204993
79	0.7053786993	0.9314135496
80	0.7126284145	0.92544545
