iter	Passed	Remaining
0	26	13385
1	74	18547
2	150	25014
3	212	26353
4	276	27374
5	306	25266
6	374	26385
7	398	24523
8	467	25477
9	518	25400
10	550	24490
11	598	24338
12	618	23163
13	645	22413
14	672	21733
15	751	22719
16	775	22019
17	799	21417
18	861	21797
19	916	21988
20	951	21706
21	1029	22369
22	1105	22929
23	1161	23029
24	1240	23572
25	1295	23619
26	1357	23779
27	1406	23717
28	1506	24467
29	1588	24884
30	1663	25161
31	1731	25323
32	1800	25473
33	1867	25601
34	1959	26029
35	2037	26257
36	2065	25846
37	2119	25774
38	2137	25265
39	2147	24690
40	2212	24763
41	2279	24854
42	2344	24915
43	2433	25219
44	2494	25219
45	2505	24730
46	2534	24431
47	2585	24350
48	2653	24427
49	2714	24426
50	2794	24599
51	2859	24636
52	2935	24757
53	2997	24754
54	3060	24764
55	3160	25057
56	3234	25139
57	3293	25096
58	3355	25078
59	3432	25169
60	3497	25174
61	3552	25096
62	3615	25077
63	3645	24832
64	3657	24478
65	3710	24402
66	3755	24267
67	3771	23958
68	3822	23874
69	3873	23795
70	3929	23744
71	3984	23684
72	4003	23416
73	4057	23360
74	4123	23368
75	4183	23340
76	4247	23335
77	4313	23337
78	4368	23280
79	4391	23054
80	4445	22995
81	4502	22953
82	4563	22925
83	4624	22904
84	4692	22908
85	4755	22890
86	4823	22899
87	4878	22840
88	4935	22792
89	4994	22750
90	5057	22731
91	5113	22679
92	5168	22620
93	5237	22620
94	5291	22556
95	5346	22499
96	5409	22473
97	5467	22426
98	5527	22389
99	5585	22342
100	5662	22370
101	5729	22356
102	5795	22337
103	5857	22302
104	5922	22278
105	6012	22348
106	6080	22334
107	6142	22293
108	6212	22285
109	6297	22328
110	6385	22378
111	6448	22337
112	6521	22333
113	6599	22346
114	6671	22335
115	6759	22374
116	6863	22467
117	6926	22421
118	6989	22377
119	7059	22353
120	7127	22326
121	7184	22260
122	7247	22214
123	7311	22170
124	7372	22116
125	7432	22060
126	7496	22017
127	7565	21988
128	7626	21933
129	7680	21861
130	7737	21794
131	7810	21773
132	7860	21691
133	7923	21642
